,a_i_num,adr_for,area_type,site_type,silvicult,forest_fun,stand_stru,rotat_age,sub_area,prot_categ,species_cd,part_cd,spec_age,a_year
3499,211000192,02-11-1-01-14    -b   -00,D-STAN,LMŚW,O,OCHR,DRZEW,140,0.91,OCH USZK,DB,5,103,2022
3500,211008940,02-11-3-10-72    -c   -00,D-STAN,BMW,O,OCHR,DRZEW,100,1.74,OCH WOD,SO,7,18,2022
3501,211022694,02-11-2-06-161   -f   -00,D-STAN,LMW,O,OCHR,DRZEW,100,0.85,OCH WOD,SO,5,88,2022
3502,211022995,02-11-1-01-24    -j   -00,D-STAN,LMW,GPZ,GOSP,DRZEW,140,0.79,,DB,10,53,2022
3503,211024740,02-11-3-12-79    -d   -99,D-STAN,LMW,O,OCHR,DRZEW,100,4.01,OCH WOD,SO,10,98,2022
3504,211018294,02-11-2-08-201   -c   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,3.79,OCH WOD,SO,10,58,2022
3505,211002084,02-11-1-03-142   -h   -00,D-STAN,LMŚW,O,OCHR,DRZEW,80,1.68,OCH USZK,BRZ,5,68,2022
3506,211018804,02-11-2-06-46    -z   -00,D-STAN,LMW,O,OCHR,DRZEW,100,4.18,OCH WOD,SO,5,5,2022
3507,211024527,02-11-3-11-225   -b   -99,D-STAN,BMW,O,OCHR,DRZEW,100,6.11,OCH WOD,SO,10,58,2022
3509,211007964,02-11-3-09-50    -j   -00,D-STAN,BMB,S,OCHR,DRZEW,80,0.93,OCH WOD,BRZ,6,38,2022
3510,211023234,02-11-3-11-137   -c   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,1.07,OCH WOD,SO,6,6,2022
3511,211017358,02-11-1-01-81    -a   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,3.35,OCH USZK,SO,6,23,2022
3512,211023129,02-11-1-01-28A   -j   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,10.62,,SO,7,23,2022
3513,211002958,02-11-1-04-213   -d   -00,D-STAN,BMW,O,OCHR,DRZEW,100,1.89,OCH USZK,SO,7,25,2022
3514,211023233,02-11-3-11-137   -g   -00,D-STAN,LMW,O,OCHR,DRZEW,80,0.45,OCH WOD,OL,4,83,2022
3515,211000907,02-11-1-01-109   -d   -00,D-STAN,LMŚW,O,OCHR,DRZEW,80,3.19,OCH USZK,BRZ,5,58,2022
3517,211024747,02-11-2-07-48    -b   -99,D-STAN,LMW,GPZ,GOSP,DRZEW,100,5.31,,SO,10,98,2022
3518,211023630,02-11-2-05-212   -k   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,140,0.98,,DB,6,103,2022
3519,211018312,02-11-2-08-226   -g   -00,D-STAN,LMW,O,OCHR,DRZEW,100,6.02,OCH WOD,SO,10,88,2022
3520,211023024,02-11-2-08-146   -b   -00,D-STAN,BMŚW,O,OCHR,KO,100,5.89,OCH WOD,SO,10,93,2022
3521,211010364,02-11-3-10-200   -f   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,7.99,,SO,10,88,2022
3522,211010868,02-11-3-12-40    -a   -00,D-STAN,LŚW,O,OCHR,DRZEW,120,4.72,OCH WOD,BK,4,33,2022
3523,211022548,02-11-3-09-22    -c   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,12.63,,SO,10,63,2022
3524,211009184,02-11-3-10-110   -f   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,3.72,,SO,10,63,2022
3525,211017884,02-11-2-05-210   -f   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,4.06,,SO,4,17,2022
3526,211000256,02-11-1-01-18    -f   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,1.65,OCH USZK,SO,10,68,2022
3527,211007988,02-11-3-09-52    -b   -00,D-STAN,BMW,O,OCHR,DRZEW,100,2.59,OCH WOD,SO,5,11,2022
3528,211000857,02-11-1-01-107   -a   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,4.84,OCH USZK,SO,5,33,2022
3529,211011006,02-11-3-12-77    -d   -00,D-STAN,LMB,S,OCHR,DRZEW,80,0.96,OCH WOD,OL,9,78,2022
3530,211007297,02-11-2-08-145   -c   -00,D-STAN,BMW,O,OCHR,DRZEW,100,4.1,OCH WOD,SO,10,88,2022
3531,211017415,02-11-1-04-229   -b   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,3.79,OCH USZK,SO,7,23,2022
3532,211023956,02-11-1-03-129   -a   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,9.5,OCH USZK,SO,8,48,2022
3533,211003231,02-11-1-04-201   -c   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,3.96,OCH USZK,SO,6,73,2022
3534,211018218,02-11-3-10-66    -c   -00,D-STAN,BMW,O,OCHR,DRZEW,100,9.85,OCH WOD,SO,8,73,2022
3535,211022704,02-11-2-05-185   -d   -00,D-STAN,LMŚW,GPZ,GOSP,KO,100,5.85,,SO,10,158,2022
3536,211006525,02-11-2-07-64    -b   -00,D-STAN,LW,O,OCHR,DRZEW,80,1.37,OCH WOD,OL,10,31,2022
3537,211010681,02-11-3-12-239   -a   -00,D-STAN,LMW,GPZ,GOSP,DRZEW,100,0.91,,SO,10,63,2022
3539,211017373,02-11-3-09-24    -c   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,2.9,,SO,10,23,2022
3540,211008120,02-11-3-09-88    -h   -00,D-STAN,LMW,O,OCHR,DRZEW,100,4.82,OCH WOD,SO,5,43,2022
3542,211018592,02-11-2-07-38    -f   -00,D-STAN,BMW,O,OCHR,DRZEW,100,2.82,OCH WOD,SO,8,63,2022
3543,211023648,02-11-3-09-47    -c   -00,D-STAN,LMŚW,O,OCHR,DRZEW,120,5.01,OCH WOD,BK,7,68,2022
3544,211020415,02-11-3-12-36    -j   -00,D-STAN,BMW,O,OCHR,DRZEW,100,1.45,OCH WOD,SO,4,21,2022
3545,211006612,02-11-2-07-71    -g   -00,D-STAN,LW,O,OCHR,DRZEW,140,0.7,OCH WOD,DB,7,103,2022
3546,211018657,02-11-2-05-185   -a   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,7.05,,SO,7,58,2022
3547,211008232,02-11-3-09-96    -b   -00,D-STAN,LMW,O,OCHR,DRZEW,100,1.91,OCH WOD,SO,10,73,2022
3548,211017372,02-11-3-09-100   -a   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,3.56,,SO,10,23,2022
3549,211021068,02-11-3-11-149   -g   -00,D-STAN,LMW,O,OCHR,KO,100,6.01,OCH WOD,SO,10,123,2022
3550,211024600,02-11-1-01-110   -r   -02,D-STAN,LMŚW,O,OCHR,DRZEW,100,0.65,OCH WOD,DB,4,112,2022
3551,211006474,02-11-2-07-61    -h   -00,D-STAN,BMŚW,GZ,GOSP,KO,100,6.04,,SO,10,118,2022
3552,211006786,02-11-2-07-79    -b   -00,D-STAN,LMW,O,OCHR,DRZEW,100,4.23,OCH WOD,SO,5,40,2022
3553,211024525,02-11-2-07-24    -o   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,80,0.07,,BRZ,10,73,2022
3554,211017925,02-11-2-05-149   -b   -00,D-STAN,LŚW,S,OCHR,DRZEW,100,2.98,OCH WOD,SO,5,7,2022
3555,211002155,02-11-1-03-147   -k   -00,D-STAN,LMŚW,O,OCHR,DRZEW,140,5.73,OCH USZK,DB,6,63,2022
3556,211020331,02-11-3-12-169   -d   -00,D-STAN,BMŚW,S,GOSP,DRZEW,100,3.84,,SO,9,28,2022
3557,211008630,02-11-3-10-28    -j   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,0.68,,SO,10,83,2022
3558,211000707,02-11-1-01-77    -m   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,12.02,OCH USZK,SO,5,68,2022
3559,211000919,02-11-1-01-109   -i   -00,D-STAN,LW,O,OCHR,DRZEW,80,1.34,OCH USZK,BRZ,10,43,2022
3560,211021070,02-11-3-11-151   -d   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,2.19,,SO,7,5,2022
3561,211007053,02-11-2-08-111   -a   -00,D-STAN,BMW,O,OCHR,DRZEW,100,2.69,OCH WOD,SO,10,58,2022
3562,211002527,02-11-1-03-159   -k   -00,D-STAN,LMŚW,O,OCHR,DRZEW,80,0.85,OCH USZK,BRZ,10,73,2022
3563,211023588,02-11-2-08-199   -k   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,120,2.64,,BK,5,19,2022
3564,211024671,02-11-2-08-174   -g   -01,ZRĄB,BŚW,GZ,GOSP,,100,2.82,,SO,,102,2022
3565,211002416,02-11-1-03-165   -f   -00,D-STAN,LMŚW,O,OCHR,DRZEW,80,1.13,OCH USZK,BRZ,9,63,2022
3566,211003132,02-11-1-04-196   -i   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,2.56,OCH USZK,SO,10,88,2022
3567,211004189,02-11-2-05-187   -a   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,1.72,,SO,10,88,2022
3569,211023007,02-11-1-04-236   -c   -00,D-STAN,LMŚW,S,OCHR,DRZEW,100,4.4,OCH USZK,SO,10,113,2022
3570,211008967,02-11-3-09-97    -l   -00,D-STAN,LMW,GPZ,GOSP,KO,100,5.42,,SO,10,113,2022
3571,211018249,02-11-2-08-138   -k   -00,D-STAN,LW,O,OCHR,DRZEW,80,4.25,OCH WOD,BRZ,8,63,2022
3572,211003613,02-11-1-04-233   -g   -00,D-STAN,BMŚW,S,OCHR,DRZEW,100,2.42,OCH USZK,SO,10,33,2022
3573,211005471,02-11-2-06-125   -f   -00,D-STAN,LMW,O,OCHR,DRZEW,100,1.65,OCH WOD,SO,6,48,2022
3574,211020677,02-11-1-04-205   -d   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,4.7,OCH USZK,SO,5,63,2022
3575,211022757,02-11-1-04-193   -a   -00,D-STAN,BMŚW,O,OCHR,DRZEW,80,1.51,OCH USZK,BRZ,6,73,2022
3576,211008223,02-11-3-09-95    -b   -00,D-STAN,LMW,O,OCHR,DRZEW,100,1.96,OCH WOD,SO,5,63,2022
3578,211018891,02-11-2-08-106   -c   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,5.83,,SO,10,48,2022
3579,211001736,02-11-1-02-118   -a   -00,D-STAN,LMŚW,O,OCHR,DRZEW,140,1.89,OCH USZK,DB,7,63,2022
3580,211005324,02-11-2-06-102   -c   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,0.68,,SO,4,31,2022
3581,211008903,02-11-3-10-69    -d   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,1.63,,SO,6,88,2022
3582,211005995,02-11-2-06-218   -b   -00,D-STAN,BMW,O,OCHR,DRZEW,100,2.47,OCH WOD,SO,5,10,2022
3583,211021751,02-11-3-09-62    -g   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,6.48,,SO,10,88,2022
3584,211017161,02-11-1-01-43    -b   -00,SUKCESJA,LMŚW,GPZ,GOSP,,100,0.5,,ŚL.T,,0,2022
3585,211001417,02-11-1-02-87    -a   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,15.21,OCH USZK,SO,6,68,2022
3586,211006420,02-11-2-07-59    -b   -00,D-STAN,BMW,O,OCHR,DRZEW,100,4.62,OCH WOD,SO,9,63,2022
3587,211000297,02-11-1-01-21    -c   -00,D-STAN,LMW,O,OCHR,DRZEW,120,2.19,OCH USZK,JS,6,48,2022
3588,211024626,02-11-3-12-175   -j   -03,D-STAN,LMW,GPZ,GOSP,DRZEW,100,1.4,,SO,7,64,2022
3589,211005873,02-11-2-06-193   -b   -00,D-STAN,LMW,O,OCHR,DRZEW,80,3.47,OCH WOD,OL,4,40,2022
3590,211010685,02-11-3-12-239   -c   -00,D-STAN,LMW,GPZ,GOSP,DRZEW,100,1.05,,SO,10,68,2022
3591,211008717,02-11-3-10-33    -m   -00,D-STAN,BMW,O,OCHR,DRZEW,100,0.9,OCH WOD,SO,7,68,2022
3592,211009182,02-11-3-10-110   -c   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,0.91,,SO,10,53,2022
3593,211005505,02-11-2-06-127   -d   -00,D-STAN,LMW,O,OCHR,DRZEW,100,1.01,OCH WOD,SO,5,58,2022
3594,211017366,02-11-2-07-54    -d   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,2.18,,SO,10,23,2022
3595,211019781,02-11-1-02-118   -d   -00,D-STAN,LMŚW,O,OCHR,KO,100,14.68,OCH USZK,SO,9,113,2022
3596,211007850,02-11-3-09-44    -b   -00,D-STAN,LMW,O,OCHR,DRZEW,100,6.73,OCH WOD,SO,8,43,2022
3597,211018617,02-11-2-06-30    -g   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,4.71,OCH WOD,SO,5,8,2022
3598,211002872,02-11-1-04-189   -g   -00,D-STAN,LMŚW,O,OCHR,DRZEW,140,1.4,OCH USZK,DB,4,133,2022
3599,211011457,02-11-3-12-175   -c   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,2.55,,SO,10,48,2022
3601,211008604,02-11-3-10-28    -b   -00,D-STAN,BMW,O,OCHR,DRZEW,100,4.45,OCH WOD,SO,6,11,2022
3602,211022887,02-11-2-06-220   -b   -00,D-STAN,LMW,O,OCHR,DRZEW,100,4.74,OCH WOD,SO,10,103,2022
3603,211021058,02-11-1-01-52    -b   -00,D-STAN,LMW,O,OCHR,KO,80,7.64,OCH USZK,BRZ,6,43,2022
3604,211023836,02-11-2-07-50    -g   -00,SUKCESJA,LMW,O,OCHR,,100,1.11,OCH WOD,MD,,29,2022
3605,211008427,02-11-3-09-5     -b   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,1.85,,SO,7,63,2022
3606,211024136,02-11-3-12-76    -l   -00,D-STAN,BMW,S,OCHR,DRZEW,100,1.32,OCH WOD,SO,5,11,2022
3607,211002909,02-11-1-04-210   -a   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,4.5,OCH USZK,SO,8,61,2022
3608,211007070,02-11-2-08-112   -b   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,2.07,,SO,9,25,2022
3609,211023887,02-11-1-02-29    -b   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,6.7,OCH USZK,SO,9,38,2022
3610,211009629,02-11-3-11-184   -f   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,5.2,,SO,10,103,2022
3611,211019044,02-11-2-06-231   -i   -00,D-STAN,LMW,O,OCHR,DRZEW,100,2.46,OCH WOD,SO,4,20,2022
3612,211004677,02-11-2-06-14    -b   -00,D-STAN,LMŚW,O,OCHR,DRZEW,80,4.07,OCH WOD,BRZ,7,40,2022
3613,211017475,02-11-2-07-75    -a   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,1.2,,SO,10,21,2022
3614,211007173,02-11-2-08-139   -h   -00,D-STAN,BMW,GZ,GOSP,DRZEW,100,2.08,,SO,6,78,2022
